Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
University Heights,40.85572707719664,-73.9104159619131,Opus Lounge,5194e9bb50193eab827ac172,Lounge,40.86103026525583,-73.92007322265032,New York,NY
University Heights,40.85572707719664,-73.9104159619131,Vacca Grill & Lounge,52044ce6498e613a1930e231,Latin American Restaurant,40.86135923097131,-73.92001237239303,New York,NY
University Heights,40.85572707719664,-73.9104159619131,Mina Bar & Restaurant,5b52709c835c9a00395e8dbc,Hookah Bar,40.863907,-73.91902,New York,NY
University Heights,40.85572707719664,-73.9104159619131,viva tapas bar and lounge,52b6692f498edbe6e1fadd05,Bar,40.8631006106457,-73.91213155693302,New York,NY
University Heights,40.85572707719664,-73.9104159619131,Lé Boujè,4ee9690d99111dae86e1f59e,Nightclub,40.861582,-73.900647,New York,NY
University Heights,40.85572707719664,-73.9104159619131,Agua Roja Lounge & Restaurant,4eea852993adad8125bdcb60,Lounge,40.862370145811745,-73.92285731412427,New York,NY
University Heights,40.85572707719664,-73.9104159619131,Ganesha Outdoor Room - NegroClaro,505fa121e4b0351d97aaa177,Beer Garden,40.86215908887808,-73.92024951420787,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Suyo Gastrofusion,5a0e08c161e53b2ff4334d1b,Bar,40.840278,-73.918101,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Ben's Club,51426853e4b0455b29218b4e,Lounge,40.8487290143967,-73.9302688837051,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,The Brewed Palate Taproom,50ea6f8dd63e8d9504f2006a,Bar,40.85105326596146,-73.92828941345215,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Elite Bookings Hall,5a07e25bc0f16370f30d56cb,Concert Hall,40.848705,-73.911909,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,T2,5cda1cd6f1936e00392518cc,Bar,40.850254,-73.93136,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Dark Tower Brew Pub,4e737af5d4c0c01bf8342602,Bar,40.8556449151826,-73.91703452213696,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Bucana Lounge,4d1bfa192dd93704818147b5,Lounge,40.851983,-73.931557,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,The Holy Inn Brewing Company,54a0d1fc498e55060a63d94d,Brewery,40.85166735623998,-73.93030837078933,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,669 8th Avenue,4ed1f25e0e01f1a881b6601b,Other Nightlife,40.84228859341751,-73.91817699862148,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Alex's lounge,5122a80ce4b08f84c58c697c,Karaoke Bar,40.85166693642223,-73.93034642164997,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Coss Lounge,51edd05e498e24cb61b7120f,Other Nightlife,40.85169943865897,-73.93039935441092,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,David's Karaoke Barn,4db47c74a86e8d270785fd42,Karaoke Bar,40.85613985,-73.93010035,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Sting Like 2e,5121bb7de4b0d2f62261f94d,Nightclub,40.85176060382497,-73.92781601781147,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,DJ PREZZ ENTERTAINMENT,51218f31e4b06dc367a0c321,Music Venue,40.85346221923828,-73.92918395996094,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Mama Restaurant,51971976498e2a5b56ac9f0f,Bar,40.8519649755437,-73.90957668420633,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Voga Lounge,54ddf339498e77f5364f225c,Lounge,40.848073153742334,-73.93268988409505,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Professional Club Recreation,4f32c75c19836c91c7f9a392,Nightlife Spot,40.850319,-73.931181,New York,NY
Morris Heights,40.84789792606271,-73.91967159119565,Lucky 7 Tapas Bar,4e8d32ebb803ca3dfcbd112e,Tapas Restaurant,40.85044675560533,-73.93303027615121,New York,NY
