Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Category ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
Marble Hill,40.87655077879964,-73.91065965862981,235th at Riverdale Ave.,4ea44031dab4725270aeba49,4bf58dd8d48988d11e941735,Cocktail Bar,40.88518953181696,-73.90736626166387,N/A,New York
Marble Hill,40.87655077879964,-73.91065965862981,KB To Your Melon,4e2082fffa761d6710728d59,4bf58dd8d48988d121941735,Lounge,40.869409544746496,-73.90323241713011,N/A,New York
Marble Hill,40.87655077879964,-73.91065965862981,Red Lobstrocity (Moving Target),4e87323246907f33489035e5,4bf58dd8d48988d1e5931735,Music Venue,40.87288,-73.918445,N/A,New York
Marble Hill,40.87655077879964,-73.91065965862981,The Sălbatic Twins HQ - NY,500302f4e4b023056e172a67,4bf58dd8d48988d1e5931735,Music Venue,40.885246,-73.913115,Bronx,NY
Marble Hill,40.87655077879964,-73.91065965862981,American Legion,512967bce4b0447baa9b7972,4bf58dd8d48988d118941735,Dive Bar,40.880039,-73.908352,Bronx,NY
Marble Hill,40.87655077879964,-73.91065965862981,A&B's Rooftop Lounge,4c65fa7fb80abe9a6d08cce5,4bf58dd8d48988d11f941735,Nightclub,40.884301,-73.911061,Bronx,NY
Marble Hill,40.87655077879964,-73.91065965862981,Mr. McGoo's,4c1c4501b9f876b005c37b46,4bf58dd8d48988d116941735,Bar,40.87941944187052,-73.90424277141844,Bronx,NY
Marble Hill,40.87655077879964,-73.91065965862981,The Local,517355dfe4b010ebcf2585d5,4bf58dd8d48988d116941735,Bar,40.87855275865213,-73.90346176628925,Bronx,NY
Marble Hill,40.87655077879964,-73.91065965862981,The Bridge Tavern,4f17a65ca17c202e104c1aee,4bf58dd8d48988d11d941735,Sports Bar,40.883495380089926,-73.9017625732257,Bronx,NY
Marble Hill,40.87655077879964,-73.91065965862981,Vin-Tich Lounge,4c30277566e40f47eb3ac38b,4bf58dd8d48988d11f941735,Nightclub,40.86727702056419,-73.91715022344617,New York,NY
Marble Hill,40.87655077879964,-73.91065965862981,The Liffy II Bar,4b2b1dfbf964a52083b424e3,4bf58dd8d48988d116941735,Bar,40.86904222830055,-73.91729960259804,New York,NY
Marble Hill,40.87655077879964,-73.91065965862981,Cafe Tabaco y Ron,4ba56909f964a520710439e3,4bf58dd8d48988d121941735,Lounge,40.86901579447504,-73.9157760815094,New York,NY
Marble Hill,40.87655077879964,-73.91065965862981,The Broads,4c71ba7c8efc37043554117d,4bf58dd8d48988d1d4941735,Speakeasy,40.88486236666667,-73.90282441666666,Bronx,NY
Marble Hill,40.87655077879964,-73.91065965862981,T & Y Wine and Spirits,55e628e6498e0b728876b1ca,4bf58dd8d48988d11a941735,Other Nightlife,40.884048004341764,-73.90071761888552,Bronx,NY
Marble Hill,40.87655077879964,-73.91065965862981,Sam's,514401fee4b0c80a2c080d40,4bf58dd8d48988d116941735,Bar,40.8717075484763,-73.90400177819282,Bronx,NY
Marble Hill,40.87655077879964,-73.91065965862981,Moose Hall Theatre Company,4f32ce8219836c91c7fcc7e7,5032792091d4c4b30a586d5c,Concert Hall,40.875071,-73.920736,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,The Crown,59287ec99cadd905284e4052,4bf58dd8d48988d133951735,Roof Deck,40.7159596120117,-73.99671727688867,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,CloudM Rooftop Bar,5bc7ea96f1936e002c929b24,4bf58dd8d48988d1d5941735,Hotel Bar,40.72061472889455,-73.99353724290425,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Apothéke,48c91543f964a520e4511fe3,4bf58dd8d48988d11e941735,Cocktail Bar,40.71446997055456,-73.99801834428807,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Spring Lounge,3fd66200f964a52009e61ee3,4bf58dd8d48988d116941735,Bar,40.72195614285704,-73.9963268666797,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Mr. Purple,5642aef9498e51025cf4a7a5,4bf58dd8d48988d1d5941735,Hotel Bar,40.72173744277209,-73.98800687282996,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Pianos,3fd66200f964a5200fe41ee3,4bf58dd8d48988d1e9931735,Rock Club,40.72110861332204,-73.98777540582154,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,169 Bar,3fd66200f964a520f6ea1ee3,4bf58dd8d48988d118941735,Dive Bar,40.71416680496258,-73.98991685961549,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Hair of the Dog,4facffc4e4b0e93c1eafd166,4bf58dd8d48988d11d941735,Sports Bar,40.72137739490113,-73.98854000011409,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Mother's Ruin,4de3e4effa7651589f21983d,4bf58dd8d48988d11e941735,Cocktail Bar,40.72131099002744,-73.99501204490662,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,La Compagnie des Vins Surnaturels,53506fd9498ebca706a7c170,4bf58dd8d48988d123941735,Wine Bar,40.720447943059405,-73.9979693380989,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,La Esquina,431e2d80f964a52079271fe3,4bf58dd8d48988d1c1941735,Mexican Restaurant,40.72159769818963,-73.99747136388419,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Beauty & Essex,4cc35db6d43ba14387a35ff8,4bf58dd8d48988d1d4941735,Speakeasy,40.72038534192122,-73.98698863102746,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,One Mile House,4ecd8d36b634dd298e4d0fa9,56aa371ce4b08b9a8d57356c,Beer Bar,40.720143812075484,-73.99328244095251,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Freemans,4169cd00f964a5208c1d1fe3,4bf58dd8d48988d14e941735,American Restaurant,40.72183686195003,-73.99245120080575,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Sweet and Vicious,3fd66200f964a520e0e51ee3,4bf58dd8d48988d121941735,Lounge,40.72125859729275,-73.99419772838098,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Whiskey Tavern,49c65aa8f964a52038571fe3,4bf58dd8d48988d122941735,Whisky Bar,40.71662496145311,-74.00025965055961,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Top Hops,4efcba2377161596a8040d45,4bf58dd8d48988d116941735,Bar,40.71844138729334,-73.98998709573911,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Randolph Beer NOLITA,4f407084e4b020398c9e53b8,4bf58dd8d48988d117941735,Beer Garden,40.71971908169587,-73.99481665865127,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Loreley Beer Garden,40870b00f964a520b7f21ee3,4bf58dd8d48988d117941735,Beer Garden,40.721381014857954,-73.99280518282161,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Hotel Chantelle,4cbcafab035d236aebebe64e,4bf58dd8d48988d116941735,Bar,40.71848249951786,-73.98905576383794,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Bowery Ballroom,3fd66200f964a520dbe31ee3,4bf58dd8d48988d1e9931735,Rock Club,40.72032836818677,-73.99333511789582,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Dudley's,4fea4f60e4b020f59d4b35ab,4bf58dd8d48988d169941735,Australian Restaurant,40.718053,-73.990353,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Hill & Dale,5133c962e4b00e1a7144f3d3,4bf58dd8d48988d116941735,Bar,40.71953189143416,-73.99064578902959,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,The Ten Bells,480f35eef964a520294f1fe3,4bf58dd8d48988d123941735,Wine Bar,40.71799099246782,-73.98978213419392,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Nancy Whiskey Pub,3fd66200f964a52081e61ee3,4bf58dd8d48988d118941735,Dive Bar,40.720637245095666,-74.00514170397815,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,310 Bowery Bar,4a67c7eaf964a5200bca1fe3,4bf58dd8d48988d116941735,Bar,40.724917379376315,-73.99241589237538,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Ghost Donkey,5824971da72a0b6817d66d7e,4bf58dd8d48988d11e941735,Cocktail Bar,40.72527552487189,-73.99249180868388,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Tom & Jerry's,3fd66200f964a52038eb1ee3,4bf58dd8d48988d118941735,Dive Bar,40.724698,-73.99331,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Mercer Kitchen,3fd66200f964a520e6e51ee3,4bf58dd8d48988d14e941735,American Restaurant,40.72468796609349,-73.99867503501252,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Kenn's Broome Street Bar,3fd66200f964a52094e61ee3,4bf58dd8d48988d116941735,Bar,40.72331594075375,-74.00320029900396,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Boiler Room,3fd66200f964a5202be41ee3,4bf58dd8d48988d1d8941735,Gay Bar,40.72614008443929,-73.98927488829868,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,d.b.a.,3fd66200f964a5202fe41ee3,4bf58dd8d48988d116941735,Bar,40.7241623918401,-73.98776819038234,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Boilermaker,54122394498edb7c423162f4,4bf58dd8d48988d11e941735,Cocktail Bar,40.72343,-73.988576,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Boulton & Watt,50d4d50ee4b0260dfc1efe72,4bf58dd8d48988d155941735,Gastropub,40.72238850886525,-73.9863264051021,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Fools Gold NYC,51e9aeae498eb74ca88c5133,56aa371ce4b08b9a8d57356c,Beer Bar,40.72316392703791,-73.98969822662912,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Sel Rrose,51b271f0498e6d7742908fe0,4bf58dd8d48988d11e941735,Cocktail Bar,40.72000590419239,-73.99391233921051,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,JIMMY at The James,4cc60b7a82388cfad0727935,4bf58dd8d48988d11e941735,Cocktail Bar,40.72267138208952,-74.00481222939285,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Macao Trading Co.,49cebdeaf964a520815a1fe3,4bf58dd8d48988d142941735,Asian Restaurant,40.719759,-74.003981,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Belle Reve,54e2ad46498ec569ea3cb416,4bf58dd8d48988d11e941735,Cocktail Bar,40.719527614151524,-74.00441549272927,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Baar Baar,5a1e961c1987ec47beed877d,4bf58dd8d48988d10f941735,Indian Restaurant,40.724533801523286,-73.99162419418478,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,AOA Bar & Grill,4ec4407382313b672fccf581,4bf58dd8d48988d11d941735,Sports Bar,40.72076391728838,-74.00509120850383,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Saxon + Parole,4e691e82b9930387355c629d,4bf58dd8d48988d14e941735,American Restaurant,40.725151439496315,-73.99233429678168,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,The Late Late,53322b7311d2bae2c6b338d0,4bf58dd8d48988d116941735,Bar,40.722986561956496,-73.98888517818075,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Public - Rooftop & Garden,593f0e372f97ec0681af6743,4bf58dd8d48988d121941735,Lounge,40.7230676940945,-73.99220486058917,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,BINY Karaoke Bar and Lounge,422b9980f964a520d31f1fe3,4bf58dd8d48988d120941735,Karaoke Bar,40.721904909890874,-74.00515662630796,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Botanica Bar,3fd66200f964a52025e41ee3,4bf58dd8d48988d118941735,Dive Bar,40.72457213735245,-73.9945731818807,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,SoHo Grand Hotel Club Room,4c899f201eafb1f79c847335,4bf58dd8d48988d11e941735,Cocktail Bar,40.721958007618014,-74.00425217359967,New York,NY
Chinatown,40.71561842231432,-73.99427936255978,Spring Studios,521cad4011d2a9c6e2c198ae,4bf58dd8d48988d171941735,Event Space,40.72091513513113,-74.00620692903254,New York,NY
