,Unnamed: 0,Unnamed: 0.1,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State,Likes,Rating
36,36,36,Co-op City,40.87429419303012,-73.829939108124,Paradise Lost,4ed094ca7ee5be844b67992d,Other Nightlife,40.86628749506847,-73.82081161524424,,New York,,
37,37,37,Co-op City,40.87429419303012,-73.829939108124,EMC Entertainment Center,50027b13e4b06407f72882ed,Nightclub,40.868938,-73.84149599999998,Bronx,NY,,
38,38,38,Co-op City,40.87429419303012,-73.829939108124,tropics lounge,4f3f478ee4b0f13aa5d6e4a4,Nightclub,40.88202670940947,-73.83132401444647,Bronx,NY,,
39,39,39,Eastchester,40.887555677350775,-73.82780644716412,The City Lounge,55e70f81498ee49baecd289e,Bar,40.8769761,-73.83309090000002,Bronx,NY,,
40,40,40,Eastchester,40.887555677350775,-73.82780644716412,Mingles,4ba2a899f964a5206b0d38e3,Cocktail Bar,40.88414581396306,-73.83261297304037,Bronx,NY,,
41,41,41,Eastchester,40.887555677350775,-73.82780644716412,mingles,4df5455452b100c2d800d816,Nightclub,40.8918688,-73.82988590000002,Mount Vernon,NY,,
42,42,42,Eastchester,40.887555677350775,-73.82780644716412,Dave & Buster's,55495fc4498ebb9a35a48933,Sports Bar,40.892236,-73.821055,Pelham Manor,NY,,
43,43,43,Eastchester,40.887555677350775,-73.82780644716412,Klassique Bar & Lounge,4f935dd2e4b00fe65f18aa7c,Bar,40.88153333969141,-73.83822683488867,Bronx,NY,,
44,44,44,Eastchester,40.887555677350775,-73.82780644716412,Blok Work Studio,4b809653f964a520037f30e3,Music Venue,40.881772739912755,-73.82673596188631,Bronx,NY,,
45,45,45,Eastchester,40.887555677350775,-73.82780644716412,Gardens Bar & Grill,4d1cecc5abc1594112866280,Bar,40.89295920726248,-73.83118678302945,Mount Vernon,NY,,
46,46,46,Eastchester,40.887555677350775,-73.82780644716412,tropics lounge,4f3f478ee4b0f13aa5d6e4a4,Nightclub,40.88202670940947,-73.83132401444647,Bronx,NY,,
47,47,47,Eastchester,40.887555677350775,-73.82780644716412,Knuckleheads Tavern,52420df111d2a5a5c45038c7,Bar,40.893105,-73.818698,Pelham Manor,NY,,
48,48,48,Eastchester,40.887555677350775,-73.82780644716412,The Garage,4eaccfbc775bad292f2d50a5,Nightclub,40.882164671978714,-73.82759319234759,Bronx,NY,,
49,49,49,Eastchester,40.887555677350775,-73.82780644716412,Xpressions,4e4c7497d4c083e9648b4cfa,Bar,40.8902189,-73.81324670000002,,New York,,
50,50,50,Eastchester,40.887555677350775,-73.82780644716412,Knuckleheads,4bf74f3c4a67c928d98823cf,Bar,40.890936688404544,-73.81705284118651,Pelham,NY,,
51,51,51,Eastchester,40.887555677350775,-73.82780644716412,Jamex Sports Bar,55e10b43498eac393e7d5903,Sports Bar,40.880255,-73.83833299999998,Bronx,NY,,
52,52,52,Eastchester,40.887555677350775,-73.82780644716412,Dreiser Auditorium,561175b5498ea48f07080f55,Jazz Club,40.87638087291421,-73.82909547946035,Bronx,NY,,
53,53,53,Eastchester,40.887555677350775,-73.82780644716412,The Yard,50025340e4b094679227c808,Other Nightlife,40.877037048339844,-73.83338165283203,Bronx,NY,,
54,54,54,Eastchester,40.887555677350775,-73.82780644716412,Mr. O's Room,4f5a2cb5e4b02c05da69fe75,Cocktail Bar,40.88302612304688,-73.84017181396484,,New York,,
55,55,55,Fieldston,40.89543742690383,-73.90564259591682,Uptown Coffeehouse,4bddf2af0ee3a593dc4b2fb0,Music Venue,40.892331,-73.905058,Bronx,NY,,
56,56,56,Fieldston,40.89543742690383,-73.90564259591682,Roma Lounge,4d8cf5ac34f2cbff56e8a7e3,Lounge,40.89045281501451,-73.90234248082983,Bronx,NY,,
57,57,57,Fieldston,40.89543742690383,-73.90564259591682,Mikey G's Musical Kingdom,4c9bd462031337049ecf4fd5,Music Venue,40.904354,-73.906013,Bronx,NY,,
58,58,58,Fieldston,40.89543742690383,-73.90564259591682,Tortoise And Hare,59359438340a584be56cea41,Sports Bar,40.89472,-73.89671,Bronx,NY,,
59,59,59,Fieldston,40.89543742690383,-73.90564259591682,Tiki Bar,53cc46e5498e4feb858cde71,Beach Bar,40.8867,-73.9116,Sea Bright,NJ,,
60,60,60,Fieldston,40.89543742690383,-73.90564259591682,Beach Walk at Sea Bright,53cc465d498e4feb858cd52f,Beach Bar,40.8867,-73.9116,Sea Bright,NJ,,
61,61,61,Fieldston,40.89543742690383,-73.90564259591682,Russian Mission Residential Bar,566a3848498e239a0d06e1a6,Bar,40.90283966064453,-73.9024887084961,New York,NY,,
62,62,62,Fieldston,40.89543742690383,-73.90564259591682,An Beal Bocht Cafe,3fd66200f964a5203ce31ee3,Bar,40.88730309009836,-73.90502527528892,Bronx,NY,,
63,63,63,Fieldston,40.89543742690383,-73.90564259591682,Blackstone Bar & Grill,53683f34498e6d121eeecbdf,Bar,40.88725320011629,-73.9072508524159,Bronx,NY,,
