Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State,Likes,Rating
Marble Hill,40.87655077879964,-73.91065965862981,Tantra Nightclub & Lounge,4b08e82bf964a5204b1323e3,Nightclub,40.868988244852254,-73.91725842509227,Calgary,NY,1,N/A
Marble Hill,40.87655077879964,-73.91065965862981,KB To Your Melon,4e2082fffa761d6710728d59,Lounge,40.869409544746496,-73.90323241713011,,NY,0,N/A
Marble Hill,40.87655077879964,-73.91065965862981,Moose Hall Theatre Company,4f32ce8219836c91c7fcc7e7,Concert Hall,40.87507100000001,-73.920736,New York,NY,0,N/A
Marble Hill,40.87655077879964,-73.91065965862981,Vin-Tich Lounge,4c30277566e40f47eb3ac38b,Nightclub,40.86727702056419,-73.91715022344617,New York,NY,4,6.2
Marble Hill,40.87655077879964,-73.91065965862981,Cafe Tabaco y Ron,4ba56909f964a520710439e3,Lounge,40.86901579447504,-73.9157760815094,New York,NY,46,7.7
Woodlawn,40.898272612138044,-73.86731496814177,ogrady music house,5005d558e4b03bef97658eb0,Piano Bar,40.89835590443179,-73.86770071433926,Bronx,NY,0,N/A
Woodlawn,40.898272612138044,-73.86731496814177,O.L.S. NY,4f8b506de4b0ab5c89adc3ef,Lounge,40.90320230790143,-73.86602962396357,Yonkers,NY,0,N/A
Norwood,40.87722415599446,-73.8793907395681,Lexa Bar & Garden,55b6a352498e52aae5a72ab6,Lounge,40.87208219592986,-73.87756863639571,Bronx,NY,6,6.0
Norwood,40.87722415599446,-73.8793907395681,The Warrior Studios (NYC),4e745319d22d80eb32b2112d,Music Venue,40.87151008129968,-73.88603774671613,Bronx,NY,1,N/A
Norwood,40.87722415599446,-73.8793907395681,Samba Lounge,4efd577f5c5c51dd2c001ecf,Lounge,40.87854210406302,-73.87189273412548,Bronx,NY,0,N/A
Norwood,40.87722415599446,-73.8793907395681,Vps Studio,4faf20d1e4b0771d82cfa2a4,Music Venue,40.878033387268545,-73.87051454571936,Bronx,NY,0,N/A
Norwood,40.87722415599446,-73.8793907395681,Julios Twerk Factory,50fe04afe4b0a676cfbd63aa,Lounge,40.884149,-73.878638,Bronx,NY,0,N/A
Norwood,40.87722415599446,-73.8793907395681,Unicorn Valley,4b70f79af964a52008362de3,Lounge,40.88250900000001,-73.892444,Bronx,NY,0,N/A
Williamsbridge,40.88103887819211,-73.85744642974205,Karkajadas Bar Restaurant & Night Club,4c686b4e31ba2d7f5dcaf772,Lounge,40.87855992231653,-73.84697474389613,Yonkers,NY,0,N/A
Williamsbridge,40.88103887819211,-73.85744642974205,Green Wood,4d4ecf33deabf04d942cc624,Nightclub,40.87887167930603,-73.86354088783264,,NY,0,N/A
Williamsbridge,40.88103887819211,-73.85744642974205,Hanna,4d4eace15fb0b1f7a75e7d91,Nightclub,40.8786,-73.86153,,NY,0,N/A
Williamsbridge,40.88103887819211,-73.85744642974205,Red Hat,4d4ead284f67224bba2a6550,Nightclub,40.87874,-73.86143,,NY,0,N/A
Williamsbridge,40.88103887819211,-73.85744642974205,The Gaza,53dd87b5498e95d9e06df49c,Lounge,40.87657258535389,-73.86212461508454,Bronx,NY,0,N/A
Williamsbridge,40.88103887819211,-73.85744642974205,Club Mystique,4bf0d45af45ec9282f44943c,Nightclub,40.88414927642994,-73.85647600392656,New York,NY,7,6.8
Williamsbridge,40.88103887819211,-73.85744642974205,Pyramid Lounge (Cholo Bakery),4d8fc3f2788c5481a00657fd,Lounge,40.88455758709027,-73.85821952862212,Bronx,NY,2,N/A
Williamsbridge,40.88103887819211,-73.85744642974205,Whispers,4f657ed1e4b03c270ace1164,Nightclub,40.872221349760494,-73.85085133821934,Bronx,NY,1,N/A
Williamsbridge,40.88103887819211,-73.85744642974205,KMC Entertainment Center,4f24f8cce4b067a327665c5b,Nightclub,40.8733508789978,-73.85284416516942,Bronx,NY,0,N/A
Baychester,40.866858107252696,-73.83579759808117,Famous Flava Entertainment,4f32c28819836c91c7f7805d,Concert Hall,40.870465,-73.84633199999998,Bronx,NY,0,N/A
Baychester,40.866858107252696,-73.83579759808117,Bravo Clubhouse,4d1ea9250901721e6b7184a5,Nightclub,40.86390038190711,-73.8456250968673,New York,NY,0,N/A
Baychester,40.866858107252696,-73.83579759808117,Memories Lounge & Restaurant,4cb65dc78db0a1435da06916,Lounge,40.86986782585181,-73.8443558459131,Bronx,NY,1,N/A
